epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,443.972,2.32216,0.168,0.682,2.22663,0.000708288,0.000236096,0.000708288,0.000236096,0.000708288,0.000236096,0.000708288,0.000236096
2,720.867,2.11585,0.506,0.89,1.85385,0.00136597,0.000455322,0.00136597,0.000455322,0.00136597,0.000455322,0.00136597,0.000455322
3,925.994,1.76528,0.668,0.956,1.35845,0.00196709,0.000655698,0.00196709,0.000655698,0.00196709,0.000655698,0.00196709,0.000655698
4,1112.66,1.36958,0.708,0.966,0.98871,0.00188753,0.000629177,0.00188753,0.000629177,0.00188753,0.000629177,0.00188753,0.000629177
5,1305.5,1.07536,0.754,0.976,0.79157,0.00180271,0.000600902,0.00180271,0.000600902,0.00180271,0.000600902,0.00180271,0.000600902
6,1494.34,0.92576,0.78,0.984,0.70597,0.00171788,0.000572628,0.00171788,0.000572628,0.00171788,0.000572628,0.00171788,0.000572628
7,1684.65,0.85489,0.798,0.984,0.64098,0.00163306,0.000544354,0.00163306,0.000544354,0.00163306,0.000544354,0.00163306,0.000544354
8,1875.23,0.77699,0.792,0.986,0.61102,0.00154824,0.000516079,0.00154824,0.000516079,0.00154824,0.000516079,0.00154824,0.000516079
9,2068.18,0.73848,0.804,0.986,0.58553,0.00146341,0.000487805,0.00146341,0.000487805,0.00146341,0.000487805,0.00146341,0.000487805
10,2256.85,0.65986,0.802,0.99,0.58142,0.00137859,0.00045953,0.00137859,0.00045953,0.00137859,0.00045953,0.00137859,0.00045953
11,2445.93,0.65213,0.808,0.986,0.56613,0.00129377,0.000431256,0.00129377,0.000431256,0.00129377,0.000431256,0.00129377,0.000431256
12,2634.19,0.62977,0.814,0.984,0.54168,0.00120894,0.000402982,0.00120894,0.000402982,0.00120894,0.000402982,0.00120894,0.000402982
13,2829.48,0.59808,0.828,0.986,0.52411,0.00112412,0.000374707,0.00112412,0.000374707,0.00112412,0.000374707,0.00112412,0.000374707
14,3020.87,0.58259,0.834,0.984,0.51571,0.0010393,0.000346433,0.0010393,0.000346433,0.0010393,0.000346433,0.0010393,0.000346433
15,3207.64,0.55834,0.826,0.984,0.515,0.000954475,0.000318158,0.000954475,0.000318158,0.000954475,0.000318158,0.000954475,0.000318158
16,3394.99,0.53272,0.846,0.988,0.51333,0.000869652,0.000289884,0.000869652,0.000289884,0.000869652,0.000289884,0.000869652,0.000289884
17,3587.13,0.54631,0.836,0.988,0.50709,0.000784829,0.00026161,0.000784829,0.00026161,0.000784829,0.00026161,0.000784829,0.00026161
18,3776.68,0.53492,0.838,0.988,0.49803,0.000700006,0.000233335,0.000700006,0.000233335,0.000700006,0.000233335,0.000700006,0.000233335
19,3964.94,0.54645,0.84,0.986,0.48313,0.000615182,0.000205061,0.000615182,0.000205061,0.000615182,0.000205061,0.000615182,0.000205061
20,4156.47,0.51118,0.836,0.988,0.49169,0.000530359,0.000176786,0.000530359,0.000176786,0.000530359,0.000176786,0.000530359,0.000176786
21,4349.25,0.48961,0.836,0.99,0.48108,0.000445536,0.000148512,0.000445536,0.000148512,0.000445536,0.000148512,0.000445536,0.000148512
22,4536.74,0.50527,0.844,0.988,0.48844,0.000360713,0.000120238,0.000360713,0.000120238,0.000360713,0.000120238,0.000360713,0.000120238
23,4725.97,0.50659,0.838,0.986,0.49331,0.00027589,9.19632e-05,0.00027589,9.19632e-05,0.00027589,9.19632e-05,0.00027589,9.19632e-05
24,4916.14,0.50688,0.852,0.988,0.4758,0.000191066,6.36888e-05,0.000191066,6.36888e-05,0.000191066,6.36888e-05,0.000191066,6.36888e-05
25,5111.03,0.49327,0.844,0.988,0.47608,0.000106243,3.54144e-05,0.000106243,3.54144e-05,0.000106243,3.54144e-05,0.000106243,3.54144e-05
